s_4,student,study,age,gender,nationality,diet,budget,dairymilk_week,plantmilk_week,change,peer_influence,norm_influence,habits,taste_dairy,health_dairy,environment_diary,ethics_dairy,access_dairy,price_dairy,taste_vegan,health_vegan,environment_vegan,ethics_vegan,access_vegan,price_vegan,weight_price,weight_environment,weight_ethics,weight_taste,weight_access,weight_health,environmental_impact,ethics_impact,production_products,factor_transition,email,statoverall_1,statoverall_2,statoverall_3,statoverall_4,statoverall_5
1,2,6,1,2,Faroese,1,250,0,0,0.25,0.5,0.75,0.75,0,0.75,0.5,0.75,0.25,0.75,0,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.25,1,0.5,0.5,0.25,0.25,0.25,7,,0,0,0,1,0
1,1,6,2,2,Danish,2,350,0.25,0,0.75,1,0.5,0.5,0.25,0.5,0.25,0.75,0.75,0.5,0.5,0.75,0.75,1,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0,0.25,0.5,4,,0,0,0,1,0
1,2,1,1,2,danish,1,200,1,0.2,0.75,0.75,0.25,0.25,0.75,0.75,0.5,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.25,0.25,7,,0,0,0,1,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0
1,2,1,1,2,German,1,500,1,0,0.75,0.5,0.5,0.25,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.75,7,,0,0,0,1,0
1,2,1,1,1,Danish,1,200,0.5,0,0.75,0.25,0.75,0.5,1,0.75,0.5,0.75,1,0.75,0.25,0.5,0.75,1,0.25,0,0.75,0.75,0.25,1,0.75,0.5,0.25,0.5,0,3,,0,0,0,1,0
1,2,1,1,2,German,3,700,0,2,0.75,0.5,0.75,0.25,0.5,0,0,0,0.75,0.75,1,0.5,0.75,1,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,1,4,,0,0,0,1,0
1,2,2,2,2,Danish,1,300,0.1,1,0.75,0.75,0.5,0.75,1,0.5,0,0.5,1,0.75,0.75,0.5,1,0.75,1,0.75,0.75,0.5,0.5,1,0.75,0.75,0,0.25,0.25,2,,0,0,0,1,0
1,2,1,1,2,Danish,1,400,0.5,0,0.75,1,1,0.75,1,0.75,0.25,0.25,0.75,0.75,0.5,0.75,0.75,1,1,1,0.5,0.25,0,1,0.5,1,0.75,0.25,0.5,7,,0,0,0,1,0
1,2,1,1,2,Danish,1,200,0.5,0,0.25,1,1,0,0.5,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.25,0,1,0.75,1,0,0,0.25,7,,0,0,0,1,0
1,2,1,1,2,danish,1,400,0.5,0,0.5,0.75,0.75,0.75,1,1,0.5,1,1,1,0,0.5,0.75,1,1,1,0.75,0.5,0,0.75,0.75,0.75,0.5,0.5,0.75,7,,0,0,0,1,0
1,2,1,2,2,polish,2,800,0.1,0.5,1,0.75,0.5,0.75,0.75,0.25,0,0,1,1,0.5,0.75,0.75,0.75,0.25,0.25,1,0.5,0.5,1,0.75,0.5,0.5,0.75,1,4,,0,0,0,1,0
1,1,6,1,1,Danish,1,400,0.2,0,0.75,0.75,0.5,0.25,1,0.75,0.25,0.5,0.75,0.25,0.75,1,0.5,0.5,0.75,0.25,1,0.25,0,0.75,0,0,0,0,0.25,7,,0,0,0,1,0
1,2,1,1,1,Danish/French,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0
1,1,6,1,2,Romanian,1,150,3,0,0.75,0.25,0.25,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.25,0.25,1,0.5,0.75,0.25,0.25,0.25,7,,0,0,0,1,0
1,2,1,1,2,Danish,1,350,1,1,1,0.75,0.75,0.25,0.75,0.75,0.25,0.5,0.75,0.75,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.25,0.25,4,,0,0,0,1,0
